epoch,train_loss,train_acc,test_loss,test_acc
1,1.540654,0.501000,1.382533,0.513000
2,1.157687,0.589000,1.304016,0.525000
3,1.042042,0.646500,1.291318,0.546000
4,0.983361,0.663000,1.320968,0.539000
5,0.938910,0.671000,1.304741,0.536000
6,0.886610,0.697000,1.296116,0.535000
