epoch,batch_loss,train_mse,test_mse
1,0.2829260015143798,0.059640731662511826,0.12233182787895203
5,0.0010986440040421886,0.0007168076117523015,0.2610224783420563
10,0.0001361646550671699,0.00012110311217838898,0.1983884572982788
15,7.341718810494058e-05,7.079492934281006e-05,0.18794524669647217
20,5.23025726299518e-05,5.068272366770543e-05,0.18064185976982117
25,4.5025337245673516e-05,4.062655716552399e-05,0.1751480996608734
30,3.438169215559565e-05,3.193621159880422e-05,0.17105813324451447
35,2.8986226775137206e-05,3.5223372833570465e-05,0.16970142722129822
40,2.69648164528637e-05,2.434098132653162e-05,0.16655947268009186
45,2.33183340801938e-05,3.81687241315376e-05,0.16618794202804565
50,2.5690093025332317e-05,1.9035363948205486e-05,0.16491776704788208
55,2.1182329804175355e-05,1.622740637685638e-05,0.1640779823064804
60,2.0145556565974122e-05,3.3801599784055725e-05,0.16254091262817383
65,1.2577600290779419e-05,1.4896056200086605e-05,0.1638159155845642
70,1.3299709070661966e-05,1.3227091585577e-05,0.16411443054676056
75,1.7036155685883176e-05,1.0700264283514116e-05,0.1651151031255722
80,9.190636704331086e-06,8.08558615972288e-06,0.16563372313976288
