epoch,batch_loss,train_mse,test_mse
1,0.0877706220780965,0.015331204980611801,0.29636499285697937
5,0.0006804008444305509,0.0006377935642376542,0.4576662480831146
10,0.0004028522753287689,0.00038658015546388924,0.5166779160499573
15,0.0002562204322202888,0.00024873894290067255,0.5741017460823059
20,0.0001641797430238512,0.00015111846732906997,0.6243669390678406
25,0.00010495016471168128,0.00010296023538103327,0.6688725352287292
30,7.37646890911492e-05,7.094391185091808e-05,0.7037462592124939
35,5.208168511217082e-05,5.1722156058531255e-05,0.733261227607727
40,4.0395754240307724e-05,3.618295886553824e-05,0.7579519152641296
