epoch,train_loss,train_acc,test_loss,test_acc
1,2.038322,0.286000,1.706578,0.374000
2,1.494866,0.470500,1.462066,0.465000
3,1.261533,0.557500,1.386457,0.487000
4,1.155102,0.583000,1.345600,0.515000
