epoch,train_loss,train_acc,test_loss,test_acc
1,1.830096,0.357500,1.504003,0.462000
2,1.286112,0.549500,1.311686,0.533000
3,1.131731,0.598000,1.340987,0.534000
4,1.053165,0.628000,1.300784,0.536000
5,0.989526,0.642500,1.350055,0.526000
6,0.947839,0.662000,1.310684,0.536000
7,0.893005,0.699000,1.327096,0.548000
8,0.857657,0.710000,1.352773,0.537000
9,0.825022,0.714500,1.356026,0.545000
10,0.802678,0.720500,1.357177,0.538000
