epoch,batch_loss,train_mse,test_mse
1,0.06092085814676606,0.0071597229689359665,0.6023722290992737
5,0.0003314320806216878,0.00017262304027099162,0.5063833594322205
10,9.060984330762249e-05,8.92657699296251e-05,0.5449613928794861
15,6.134363474512401e-05,6.010184370097704e-05,0.5711185336112976
20,4.332922449416051e-05,4.134672781219706e-05,0.5895149111747742
25,3.363061058245456e-05,3.198182093910873e-05,0.6072402596473694
30,2.6115368900019137e-05,3.126889350824058e-05,0.6193256378173828
35,2.1882983604043078e-05,1.958848224603571e-05,0.6306849718093872
40,1.6350343545267467e-05,1.685974348220043e-05,0.6390894055366516
45,1.4033546134529528e-05,1.2602586139109917e-05,0.6436938643455505
50,1.1723922992902002e-05,1.2844764569308609e-05,0.6475272178649902
55,1.0939430956988452e-05,9.861533726507332e-06,0.6510442495346069
60,9.250306203074824e-06,7.701662980252877e-06,0.6547725796699524
65,7.563179993807213e-06,7.510453087888891e-06,0.6551578640937805
70,7.435201338851654e-06,8.14528812043136e-06,0.6579622030258179
75,6.778621774663827e-06,6.765341822756454e-06,0.6594135761260986
80,6.066043135013808e-06,5.2802588470513e-06,0.6592137813568115
