epoch,batch_loss,train_mse,test_mse
1,0.1520854459486145,0.004386763088405132,0.3706953525543213
5,0.0010858583700610325,0.0009674722095951438,0.33522215485572815
10,0.0003307460169708065,0.0002832174359355122,0.3614659309387207
15,9.809103642055561e-05,8.543283183826134e-05,0.366742342710495
20,4.5660585044515756e-05,4.3440104491310194e-05,0.3579440414905548
25,3.42375281547902e-05,3.2997057132888585e-05,0.3479238450527191
30,2.999225824851237e-05,3.061521420022473e-05,0.3375680148601532
35,2.9376117936408264e-05,2.884770219679922e-05,0.32851287722587585
40,2.824491519959338e-05,2.6819223421625793e-05,0.3200850486755371
