epoch,train_loss,train_acc,test_loss,test_acc
1,1.644039,0.394820,1.406401,0.484400
2,1.275768,0.542120,1.176718,0.575800
3,1.120417,0.604800,1.052266,0.633900
4,1.013021,0.641120,1.032731,0.638800
5,0.936537,0.672120,0.958757,0.661900
6,0.874132,0.694780,0.930676,0.673300
7,0.823647,0.714220,0.894616,0.689000
8,0.782251,0.727260,0.869229,0.700800
9,0.741136,0.743420,0.848633,0.704300
10,0.711131,0.750720,0.867024,0.701500
