epoch,batch_loss,train_mse,test_mse
1,0.28675047852672064,0.08197493851184845,0.0982363149523735
5,0.001380500768741163,0.0012325485004112124,0.12237250059843063
10,0.00038156475392707554,0.0003288059670012444,0.11602797359228134
15,0.00011403463465215352,9.768699965206906e-05,0.10902388393878937
20,3.278389130383193e-05,2.9024906325503252e-05,0.1075589656829834
25,1.6917940509022e-05,1.6232339476118796e-05,0.10722114890813828
30,1.164276272902498e-05,1.2338389751676004e-05,0.10704571008682251
35,1.0264691634522303e-05,1.063826130121015e-05,0.10653314739465714
40,8.841300558952544e-06,8.304127732117195e-06,0.10691642761230469
45,7.423798146751674e-06,7.3258534030173905e-06,0.10713215172290802
50,6.671698254369683e-06,7.663438736926764e-06,0.10709637403488159
55,5.70057278099949e-06,5.823876108479453e-06,0.10789758712053299
60,5.185486403346518e-06,5.0566845857247245e-06,0.10868276655673981
65,4.634570709290879e-06,4.533540959528182e-06,0.10955251753330231
70,4.1923328633576884e-06,4.848642674915027e-06,0.11045124381780624
75,4.438296925330248e-06,4.258928129274864e-06,0.11133858561515808
80,3.475510687586883e-06,3.16901446240081e-06,0.11152733117341995
