epoch,batch_loss,train_mse,test_mse
1,0.282741773633461,0.014026192016899586,0.20157939195632935
5,0.0018524070619605482,0.0016024576034396887,0.14037102460861206
10,0.0005356408319130423,0.00048448587767779827,0.1281537264585495
15,0.00025006388204928953,0.0002352371229790151,0.11338014155626297
20,0.00017327944874523382,0.00016445737855974585,0.09696508944034576
25,0.00014864401282466133,0.0001288677885895595,0.08575078099966049
30,0.00011228596292767179,0.00010924549860646948,0.07814692705869675
35,9.781559185739752e-05,9.51611073105596e-05,0.07330027222633362
40,8.920168727399869e-05,8.771557622822002e-05,0.0703773945569992
