epoch,batch_loss,train_mse,test_mse
1,0.07187103293836117,0.02057727985084057,0.45734351873397827
5,0.001183377509453119,0.000693738809786737,0.5257117748260498
10,0.0003592462744563818,0.0003396649262867868,0.5166648030281067
15,0.00019227337963037335,0.00018451731011737138,0.5120055675506592
20,0.00010481261303469252,9.40020036068745e-05,0.4948371648788452
25,8.187475955660026e-05,0.00010361237218603492,0.4662126898765564
30,5.4976851130889445e-05,5.0774160627042875e-05,0.4538242220878601
35,4.051148201912068e-05,5.3230593039188534e-05,0.43983209133148193
40,3.215644406177139e-05,3.350241604493931e-05,0.4208552837371826
45,3.5075522716327286e-05,5.593667447101325e-05,0.41697466373443604
50,1.9204992895538453e-05,1.8045080651063472e-05,0.40376514196395874
55,1.594132761685894e-05,1.426733797416091e-05,0.39768174290657043
60,1.639150664581953e-05,1.531631642137654e-05,0.39439019560813904
65,1.2364281281826641e-05,1.121172772400314e-05,0.3882439434528351
70,1.2042568309530347e-05,1.1159426321682986e-05,0.3851541578769684
75,1.3590797082612811e-05,9.22073650144739e-06,0.38290879130363464
80,9.012109925466715e-06,1.0806596947077196e-05,0.3814277946949005
