epoch,batch_loss,train_mse,test_mse
1,0.03491551625148322,0.017917323857545853,0.31604519486427307
5,0.00043106727669230447,0.0003401260473765433,0.33421316742897034
10,0.00020310229200941438,0.00019071072165388614,0.28100064396858215
15,0.00013115445975787364,0.00010809188097482547,0.23986369371414185
20,7.923139184220837e-05,7.727608317509294e-05,0.2072528451681137
25,6.300132820167794e-05,4.8914869694272056e-05,0.18429483473300934
30,3.638343472490445e-05,3.8346221117535606e-05,0.16772937774658203
35,2.923259937513369e-05,4.2060910345753655e-05,0.15561974048614502
40,2.1388468037632545e-05,3.6334709875518456e-05,0.1436510980129242
45,2.2969706850954724e-05,1.9369959773030132e-05,0.14060407876968384
50,1.5024647732039179e-05,1.3357256648305338e-05,0.13347046077251434
55,1.3916177907119094e-05,1.2330116987868678e-05,0.1281389594078064
60,1.3468608253438455e-05,1.1483964954095427e-05,0.12537992000579834
65,1.3303675936745443e-05,1.164612785942154e-05,0.12430896610021591
70,1.2402901610095376e-05,1.0732587725215126e-05,0.12080087512731552
75,1.290999216507771e-05,1.060308568412438e-05,0.11837813258171082
80,1.0403409480484417e-05,9.529652743367478e-06,0.11885683238506317
