epoch,batch_loss,train_mse,test_mse
1,0.18153288992694938,0.005606893450021744,0.13678334653377533
5,0.0011063621182424517,0.0009377609821967781,0.30771005153656006
10,0.0005260092842106062,0.0005061633419245481,0.3015459179878235
15,0.00029350633177762996,0.0003262799291405827,0.28432992100715637
20,0.00019618202797853603,0.00022936175810173154,0.2734569013118744
25,0.0001221488564624451,0.00011325315426802263,0.2678237855434418
30,8.875700363065474e-05,8.485684520564973e-05,0.2574583888053894
35,6.938449811199322e-05,7.977267523529008e-05,0.25140896439552307
40,5.43963191236029e-05,6.969660898903385e-05,0.24661144614219666
45,5.021684885902617e-05,4.2887917516054586e-05,0.2456131875514984
50,4.029531373817008e-05,5.123031951370649e-05,0.24283649027347565
55,3.834840432458665e-05,4.0644776163389906e-05,0.2437816560268402
60,4.1358794568133395e-05,4.040230851387605e-05,0.24293552339076996
65,2.7558444344322197e-05,2.9966731744934805e-05,0.24296535551548004
70,2.697656691452721e-05,2.448261875542812e-05,0.2423710823059082
75,2.3599692352805643e-05,2.3695230993325822e-05,0.2424582988023758
80,2.2871928334867473e-05,1.9999379219370894e-05,0.24265623092651367
