epoch,batch_loss,train_mse,test_mse
1,0.08513297868921654,0.012096891179680824,0.2535858154296875
5,0.0003360288824296731,0.00028558430494740605,0.43698060512542725
10,0.00011324432841774978,0.00010241407289868221,0.48097527027130127
15,5.486081067829218e-05,5.247750232229009e-05,0.5089308023452759
20,3.646448641347888e-05,3.42214698321186e-05,0.5272212624549866
25,2.664739773194924e-05,2.6288531444151886e-05,0.5388846397399902
30,2.110780614827945e-05,2.0226463675498962e-05,0.545641303062439
35,1.654028878306235e-05,1.6136815247591585e-05,0.550602376461029
40,1.3650004078158418e-05,1.3732818842981942e-05,0.5546704530715942
