epoch,batch_loss,train_mse,test_mse
1,0.4490559562109411,0.06812857836484909,0.10568281263113022
5,0.0017058027242455864,0.0015152132837101817,0.22362390160560608
10,0.0008779876579865231,0.0008278867462649941,0.25771424174308777
15,0.0005079958546048147,0.00046933023259043694,0.26728832721710205
20,0.0002850397340807831,0.00026299053570255637,0.269039511680603
25,0.00015956898528202146,0.00015455308312084526,0.2646576464176178
30,9.634970103888918e-05,8.995881216833368e-05,0.2587983012199402
35,6.42333199039058e-05,5.87650210945867e-05,0.252167284488678
40,4.5920075137928507e-05,4.239435656927526e-05,0.2471769154071808
