epoch,train_loss,train_acc,test_loss,test_acc
1,1.830096,0.357500,1.504003,0.462000
2,1.286113,0.549500,1.311683,0.533000
3,1.131818,0.599500,1.341599,0.535000
4,1.051428,0.628000,1.303361,0.528000
5,0.984636,0.647000,1.351902,0.524000
6,0.939862,0.665000,1.305685,0.546000
7,0.899737,0.693000,1.324928,0.537000
8,0.858153,0.715000,1.333966,0.551000
9,0.818659,0.717000,1.346707,0.547000
10,0.803357,0.711500,1.347121,0.536000
