epoch,batch_loss,train_mse,test_mse
1,0.0791212220568783,0.001253523980267346,0.6052457690238953
5,0.0011985400364770053,0.0009857509285211563,0.5103506445884705
10,0.0007715808057512802,0.0006807713070884347,0.504225492477417
15,0.0005067552242857906,0.00046322663547471166,0.4726015329360962
20,0.0003330703744163307,0.00032465276308357716,0.39831221103668213
25,0.00022076669791623807,0.00020270224194973707,0.3393675982952118
30,0.00015543775897150717,0.0001661509886616841,0.2972463071346283
35,9.99448468344501e-05,0.0001028970509651117,0.2626839876174927
40,6.890598748353883e-05,6.32512746960856e-05,0.23351451754570007
45,3.5335354228804e-05,3.125481816823594e-05,0.20913425087928772
50,1.9605090528784785e-05,1.8337765141041018e-05,0.19252192974090576
55,1.3391292108840738e-05,1.0834448403329588e-05,0.18157412111759186
60,1.2313185694578211e-05,1.633480133023113e-05,0.17788980901241302
65,7.494975237092988e-06,7.702540642640088e-06,0.172464981675148
70,6.681151297435952e-06,8.059360879997257e-06,0.17204992473125458
75,6.6194072412774685e-06,8.168692147592083e-06,0.17002014815807343
80,6.013914396764729e-06,7.069495040923357e-06,0.17287315428256989
