epoch,batch_loss,train_mse,test_mse
1,0.0852405523451475,0.00989491492509842,0.12448902428150177
5,0.0011644074335121191,0.0009249938302673399,0.39707115292549133
10,0.00027402544107574684,0.0002138952841050923,0.4008792042732239
15,7.524091331735969e-05,6.590511475224048e-05,0.39617079496383667
20,3.166509122820571e-05,2.721231612667907e-05,0.39275404810905457
25,1.6439397908330786e-05,1.4964234651415609e-05,0.3875168561935425
30,1.3504685599540468e-05,1.0603706869005691e-05,0.38265934586524963
35,9.187804432888068e-06,8.787385013420135e-06,0.3759141266345978
40,8.410498332103509e-06,6.874238806631183e-06,0.37006667256355286
45,8.107844905680395e-06,7.047573944873875e-06,0.36448729038238525
50,6.04032808181588e-06,7.202582310128491e-06,0.35896530747413635
55,5.22514128183852e-06,4.477486982068513e-06,0.3560350835323334
60,4.296457413707126e-06,3.879779796989169e-06,0.3514646887779236
65,4.805950031648255e-06,3.4870743093051715e-06,0.34640148282051086
70,3.402449981247348e-06,4.0778727452561725e-06,0.34144753217697144
75,3.694229235406965e-06,2.8951033073099097e-06,0.3386881649494171
80,3.6207564405161134e-06,4.66001256427262e-06,0.3367348909378052
