epoch,batch_loss,train_mse,test_mse
1,1.0950345303863287,0.6144987940788269,0.08475105464458466
5,0.004202541713311803,0.003924372140318155,0.39132553339004517
10,0.002836471001501195,0.002719979267567396,0.44418463110923767
15,0.0021100127123645507,0.002082310151308775,0.4867478311061859
20,0.001733045121000032,0.0017204879550263286,0.5112109780311584
25,0.0014912675942468923,0.001497364602982998,0.5209630131721497
30,0.0014025801356183365,0.0013439211761578918,0.5222588181495667
35,0.0012132372212363407,0.0012080941814929247,0.5119537115097046
40,0.001095237688787165,0.0010879954788833857,0.4969332218170166
