epoch,batch_loss,train_mse,test_mse
1,0.3956893149118584,0.030223309993743896,0.4708489179611206
5,0.0006431945422753835,0.0003175001183990389,0.4229966402053833
10,6.398932041170505e-05,6.191946158651263e-05,0.4426461160182953
15,5.019300344709056e-05,4.8379086365457624e-05,0.43880167603492737
20,3.9254856276854225e-05,3.8116468203952536e-05,0.43385618925094604
25,3.2376362819027585e-05,3.0373656045412645e-05,0.4260290861129761
30,2.747000137158186e-05,2.6588288164930418e-05,0.4184670150279999
35,2.0391862423051723e-05,2.005510759772733e-05,0.41181522607803345
40,1.6952255044508583e-05,1.7265603673877195e-05,0.4043169319629669
45,1.5275037185347173e-05,1.4956590348447207e-05,0.397561252117157
50,1.1397483306679464e-05,1.045911994879134e-05,0.3930915594100952
55,9.383245504488094e-06,1.0132486750080716e-05,0.38754817843437195
60,1.0352778924873117e-05,9.664550816523843e-06,0.38309815526008606
65,6.4406819826847195e-06,6.31221519142855e-06,0.3795161545276642
70,6.119972777714093e-06,6.5996091507258825e-06,0.37578606605529785
75,5.714398237334815e-06,5.4991837714624126e-06,0.3734744191169739
80,5.5717740941383035e-06,6.5246977101196535e-06,0.3713246285915375
