epoch,batch_loss,train_mse,test_mse
1,0.11361707582210119,0.004189569503068924,0.2181825488805771
5,0.00040591963149311667,0.000238016655202955,0.24822179973125458
10,3.515989598012171e-05,3.687738353619352e-05,0.2283395528793335
15,3.074812635671921e-05,2.9251628802740015e-05,0.22120273113250732
20,2.7696428962651855e-05,2.680382203834597e-05,0.21610139310359955
25,2.6262841716883347e-05,2.5441944671911187e-05,0.21196630597114563
30,2.4784845523894408e-05,2.5511417334200814e-05,0.2077593207359314
35,2.3757484856245217e-05,2.4318438590853475e-05,0.2036546915769577
40,2.4038495771842114e-05,2.2819403966423124e-05,0.20163558423519135
45,2.284311330395912e-05,2.1659354388248175e-05,0.19764980673789978
50,2.1438327656561832e-05,2.0514175048447214e-05,0.19586871564388275
55,2.2742585385388407e-05,1.9618219084804878e-05,0.19445787370204926
60,1.9148178300663578e-05,1.8644674128154293e-05,0.1932135820388794
65,1.946393331309082e-05,1.973901453311555e-05,0.19264867901802063
70,1.9286275136647208e-05,2.13080202229321e-05,0.19000768661499023
75,1.593154907963113e-05,1.922503906826023e-05,0.19151879847049713
80,1.7826980183599517e-05,2.1269768694764934e-05,0.18818676471710205
