epoch,batch_loss,train_mse,test_mse
1,0.6484784386478938,0.01780017837882042,0.3718748986721039
5,0.0011817231828060288,0.001124983886256814,0.6069605350494385
10,0.0006450808074217862,0.00062443787464872,0.5800105929374695
15,0.0004914509347425058,0.00048663184861652553,0.5728393793106079
20,0.00037788329399728146,0.00036903205909766257,0.5595947504043579
25,0.00025249472114060505,0.0002375943586230278,0.5489070415496826
30,0.00015075706211903779,0.00013082430814392865,0.5400110483169556
35,6.413896279319978e-05,5.8938116126228124e-05,0.5281050205230713
40,3.704778212592758e-05,3.5605273296823725e-05,0.5225822329521179
45,3.196946832199151e-05,2.918117206718307e-05,0.519172191619873
50,2.6207577460669338e-05,2.5470968466834165e-05,0.516610860824585
55,2.3745005609481057e-05,2.398683864157647e-05,0.5150684714317322
60,2.3190161720357046e-05,2.256076732010115e-05,0.5143507122993469
65,2.1658997376597163e-05,2.1362118786782958e-05,0.5142259001731873
70,1.9904855714860158e-05,2.09680620173458e-05,0.5153638124465942
75,1.9136773237103345e-05,1.9105997125734575e-05,0.5148503184318542
80,1.8806637714218457e-05,1.8731267118710093e-05,0.5144892930984497
