epoch,batch_loss,train_mse,test_mse
1,0.7724677314981818,0.22339774668216705,0.10369031876325607
5,0.0005787117404452147,0.000495256797876209,0.10414215922355652
10,0.00019482310199236963,0.0001820293691707775,0.09781257808208466
15,0.00011555638172922045,0.00010771611414384097,0.09344737976789474
20,8.396493808504601e-05,8.116097160382196e-05,0.08994009345769882
25,6.73071428991534e-05,6.56516567687504e-05,0.08883267641067505
30,5.678262084529706e-05,5.7159220887115225e-05,0.08742398768663406
35,4.917218200262141e-05,5.13049126311671e-05,0.08733715116977692
40,4.1811119331214286e-05,3.941696195397526e-05,0.08864637464284897
