epoch,batch_loss,train_mse,test_mse
1,0.3598731887759641,0.010686122812330723,0.06637345999479294
5,0.001573953024490038,0.0014045854331925511,0.11208071559667587
10,0.0008848727584336302,0.0008397074416279793,0.12522122263908386
15,0.0006000857274557347,0.000580150110181421,0.12971284985542297
20,0.0004011621163044765,0.00039175027632154524,0.1313946396112442
25,0.00027674035391100915,0.0002700230397749692,0.12663595378398895
30,0.0002042185487880488,0.00019522328511811793,0.12095151096582413
35,0.0001617935690774175,0.0001538898650323972,0.11890171468257904
40,0.00012252643887222803,0.00011930804612347856,0.12081530690193176
