epoch,train_loss,train_acc,test_loss,test_acc
1,1.994397,0.296500,1.664982,0.446000
2,1.431344,0.510000,1.411843,0.492000
3,1.218507,0.562000,1.353092,0.508000
4,1.117714,0.595000,1.307327,0.517000
5,1.043549,0.629500,1.309749,0.522000
6,0.999978,0.649000,1.304066,0.531000
7,0.938129,0.665500,1.338252,0.533000
8,0.905606,0.683000,1.356709,0.517000
9,0.880790,0.693000,1.350778,0.542000
10,0.855360,0.702500,1.361207,0.540000
