epoch,batch_loss,train_mse,test_mse
1,0.181533806869993,0.00967987161129713,0.12548324465751648
5,0.0015786977164680138,0.0012188332621008158,0.10255280137062073
10,0.00018193478149441944,0.00015555683057755232,0.088133305311203
15,0.00010305428804713301,9.405368473380804e-05,0.08293330669403076
20,8.042033778110635e-05,7.865309453336522e-05,0.07921873033046722
25,7.057577272462368e-05,6.664889224339277e-05,0.07610051333904266
30,5.788110212279207e-05,6.314707570709288e-05,0.07288433611392975
35,5.44992267350608e-05,4.974512921762653e-05,0.07043066620826721
40,4.4847024355476606e-05,4.332688695285469e-05,0.06818845868110657
