epoch,train_loss,train_acc,test_loss,test_acc
1,0.835236,0.708400,0.879177,0.700400
2,0.690969,0.758880,0.855309,0.709600
3,0.664820,0.768300,0.840861,0.716900
4,0.645168,0.775000,0.878433,0.708500
5,0.631719,0.779300,0.853585,0.713900
6,0.619754,0.781920,0.845774,0.716800
7,0.610104,0.784440,0.846966,0.719500
8,0.600908,0.787400,0.830685,0.717600
9,0.590961,0.791860,0.844878,0.718300
10,0.580302,0.795400,0.859202,0.715300
