epoch,batch_loss,train_mse,test_mse
1,0.09732031949533848,0.006054695229977369,0.8580775856971741
5,0.0020419879747350933,0.0018439944833517075,0.7451452612876892
10,0.0004916311127090012,0.0004552336467895657,0.5720743536949158
15,0.00019336766661126603,0.00016594941553194076,0.46570414304733276
20,7.215979735519795e-05,6.816138920839876e-05,0.40213149785995483
25,3.8393911154344096e-05,3.6114775866735727e-05,0.3709218204021454
30,2.4531414908324223e-05,2.3119791876524687e-05,0.35726070404052734
35,1.543098478862248e-05,1.444819281459786e-05,0.3493770658969879
40,1.0354594266459571e-05,1.0413754353066906e-05,0.34328046441078186
