epoch,batch_loss,train_mse,test_mse
1,0.6705232898776348,0.08598427474498749,0.16772006452083588
5,0.007243071557380832,0.006083192303776741,0.45527100563049316
10,0.001996873913762661,0.0018662457587197423,0.5411485433578491
15,0.0012964535047873282,0.0012672038283199072,0.5910891890525818
20,0.0011574154083903593,0.0011226924834772944,0.611935555934906
25,0.0010708447953220457,0.0010772575624287128,0.6131191849708557
30,0.001035085429276268,0.0010472722351551056,0.6083398461341858
35,0.0010068221107268562,0.0010182757396250963,0.5978729128837585
40,0.0010191500903322147,0.0009893161477521062,0.5856953263282776
45,0.0009896293631754816,0.0009469089563935995,0.5653545260429382
50,0.000896249741065101,0.0009016930125653744,0.5451481938362122
55,0.0009033149376941415,0.0008376435725949705,0.5268951654434204
60,0.0007802852286169162,0.0007600284880027175,0.508536696434021
65,0.0006794752597880478,0.0006760561955161393,0.49452704191207886
70,0.0006051989319250704,0.0005843265680596232,0.46934622526168823
75,0.0004637671921115655,0.000454642140539363,0.44787275791168213
80,0.0003573138304860689,0.0003295588248874992,0.41852980852127075
