epoch,batch_loss,train_mse,test_mse
1,0.03529184895887738,0.005788916721940041,0.5107772946357727
5,0.0010732388982432894,0.0008976825047284365,0.31383016705513
10,0.00016383671299990965,0.0001432107965229079,0.20925164222717285
15,8.469878241612605e-05,8.28946431283839e-05,0.18552544713020325
20,7.107429416919331e-05,7.137388456612825e-05,0.17440539598464966
25,6.071616189728957e-05,5.8320470998296514e-05,0.16450057923793793
30,5.32585526116236e-05,4.9240017688134685e-05,0.15364785492420197
35,4.1862132547976216e-05,3.993281279690564e-05,0.14574991166591644
40,3.3749416388673126e-05,4.3516920413821936e-05,0.13881708681583405
