epoch,batch_loss,train_mse,test_mse
1,0.2723192495222275,0.035118188709020615,0.2704399526119232
5,0.00047778398304497107,0.00033262401120737195,0.4097803831100464
10,0.00012281624703274036,0.00011183550668647513,0.3723979890346527
15,7.334251509186848e-05,6.949243106646463e-05,0.3611336946487427
20,5.609587004493313e-05,5.1214075938332826e-05,0.35389694571495056
25,3.6071909422529505e-05,3.3158910810016096e-05,0.34108778834342957
30,2.8553033189382404e-05,2.613034303067252e-05,0.3320472240447998
35,2.1205480292197674e-05,2.019808925979305e-05,0.3251822292804718
40,1.77728208235259e-05,1.6508834960404783e-05,0.31899741291999817
45,1.5277093133101098e-05,1.4075348190090153e-05,0.3159739375114441
50,1.3885647114455844e-05,1.3303861123858951e-05,0.31243327260017395
55,1.283355133916932e-05,1.319704551860923e-05,0.30991265177726746
60,9.625195441633248e-06,1.0491054126759991e-05,0.3101238012313843
65,8.97454001110768e-06,1.1064810678362846e-05,0.31103840470314026
70,8.278442884637536e-06,8.516145499015693e-06,0.3108524978160858
75,7.342945397025547e-06,7.449456006725086e-06,0.31130993366241455
80,8.944198130988158e-06,9.820502782531548e-06,0.3121334910392761
