epoch,batch_loss,train_mse,test_mse
1,0.5019483029609546,0.05626760795712471,0.1168164312839508
5,0.0026414559833938256,0.002291607903316617,0.05174558609724045
10,0.0006917945734130626,0.0005945606390014291,0.04549729451537132
15,0.0001999700095893786,0.000178044312633574,0.053647734224796295
20,7.82812805937283e-05,6.447391206165776e-05,0.06001738831400871
25,3.075390620210783e-05,2.813405080814846e-05,0.06323736160993576
30,1.7758570606929425e-05,1.520819296274567e-05,0.06488773226737976
35,1.0606654228695334e-05,1.0371025382482912e-05,0.06559373438358307
40,8.733516651204809e-06,8.548776349925902e-06,0.0658416822552681
