epoch,batch_loss,train_mse,test_mse
1,0.13332103808911946,0.004677590914070606,0.15576867759227753
5,0.0005598898927788609,0.0005961685092188418,0.12799866497516632
10,0.0001213596316609675,0.00011566050670808181,0.13439355790615082
15,9.397897967853799e-05,8.791482832748443e-05,0.15354794263839722
20,7.665272809950133e-05,7.13332774466835e-05,0.17101158201694489
25,6.607127369744166e-05,6.209931598277763e-05,0.1861030012369156
30,5.019770875291075e-05,5.256324584479444e-05,0.1989564150571823
35,4.577657259338034e-05,5.2326955483295023e-05,0.210727259516716
40,3.765291652458612e-05,3.657002525869757e-05,0.22156791388988495
45,3.112951120643769e-05,3.0423858333961107e-05,0.23230674862861633
50,3.353948355092703e-05,2.7853106075781398e-05,0.24254649877548218
55,2.648869457726295e-05,2.666662840056233e-05,0.2525014579296112
60,2.2059275089794446e-05,2.0486195353441872e-05,0.2630671262741089
65,2.035952184087364e-05,1.7955184375750832e-05,0.27126213908195496
70,1.6411624178894832e-05,1.9402223188080825e-05,0.2769162952899933
75,1.5531987278686407e-05,1.7648797438596375e-05,0.2850625514984131
80,1.6905820582626173e-05,1.2412134310579859e-05,0.28849583864212036
