epoch,train_loss,train_acc,test_loss,test_acc
1,2.234694,0.156738,2.131797,0.214844
2,2.039044,0.243652,1.969602,0.306641
3,1.907858,0.300293,1.898868,0.314453
4,1.819160,0.327637,1.821314,0.320312
5,1.736894,0.360840,1.796969,0.326172
