epoch,batch_loss,train_mse,test_mse
1,0.3950616810112618,0.04335102438926697,0.061702631413936615
5,0.0005535459730218953,0.0005183767061680555,0.14668837189674377
10,9.11138528093803e-05,7.868368993513286e-05,0.14073053002357483
15,5.7708853721403735e-05,5.228755981079303e-05,0.13239221274852753
20,4.3275705208473555e-05,4.065960820298642e-05,0.1285838782787323
25,3.4534141937351356e-05,3.834634117083624e-05,0.1261623054742813
30,2.3833911445063466e-05,2.7665377274388447e-05,0.1252400279045105
35,3.1603218863333146e-05,3.664924224722199e-05,0.12502139806747437
40,2.7687101464834996e-05,1.7158066839328967e-05,0.12569507956504822
45,2.7510504948552876e-05,2.671008405741304e-05,0.12591011822223663
50,1.7472800419244988e-05,1.389844692312181e-05,0.12627239525318146
55,2.0105910572545745e-05,1.3619773199025076e-05,0.128015398979187
60,1.6697920937776173e-05,1.2620508641703054e-05,0.12834250926971436
65,1.4663165040054502e-05,1.4815246686339378e-05,0.13037455081939697
70,1.1546518775363578e-05,1.712556513666641e-05,0.13242365419864655
75,1.1461342462728051e-05,9.079026312974747e-06,0.13323810696601868
80,1.8585456858160727e-05,9.406620847585145e-06,0.1350470930337906
