epoch,batch_loss,train_mse,test_mse
1,0.6937236929169068,0.0713278278708458,0.17748995125293732
5,0.004208807278281221,0.0033003827556967735,0.43948864936828613
10,0.0013325559064889182,0.001289322623051703,0.551004946231842
15,0.0010776532581076026,0.0010635640937834978,0.5752443671226501
20,0.0010154173181105691,0.0009805189911276102,0.5638512969017029
25,0.0008745804303683913,0.0008695300202816725,0.535168468952179
30,0.0008123916699192845,0.0007939313072711229,0.513541042804718
35,0.0007198833045549691,0.0007259606500156224,0.4982972741127014
40,0.0006955259439284698,0.0006754528731107712,0.4894436299800873
45,0.0006517990460941711,0.000623450381681323,0.47267723083496094
50,0.0005880295894502734,0.0005803446983918548,0.46339789032936096
55,0.0005751394581658622,0.0005486398003995419,0.4553690254688263
60,0.0005138833680225966,0.0005506069283001125,0.4532414674758911
65,0.00047739939831304725,0.00047986756544560194,0.44250282645225525
70,0.0004845623345597862,0.00044807500671595335,0.43264147639274597
75,0.0004464603329184823,0.00042211759136989713,0.42521554231643677
80,0.00041592511675284745,0.00046195153845474124,0.4064249098300934
