epoch,train_loss,train_acc,test_loss,test_acc
1,1.883608,0.318500,1.538990,0.449000
2,1.339959,0.506000,1.396591,0.477000
3,1.167511,0.572500,1.360077,0.505000
4,1.074167,0.612000,1.327534,0.503000
