epoch,train_loss,train_acc,test_loss,test_acc
1,1.977252,0.267900,1.762599,0.356000
2,1.662773,0.387800,1.592220,0.400500
3,1.517921,0.445100,1.546529,0.446000
4,1.425170,0.482800,1.450479,0.477500
5,1.338787,0.513100,1.410173,0.494000
6,1.257570,0.541300,1.308484,0.523000
7,1.200280,0.568100,1.339788,0.513000
8,1.155626,0.585400,1.268075,0.546500
9,1.094017,0.610700,1.277077,0.555500
10,1.040084,0.630900,1.244455,0.553000
