epoch,batch_loss,train_mse,test_mse
1,0.06790588033170654,0.02047998458147049,0.23570403456687927
5,0.00018449019206365428,6.304518319666386e-05,0.06724352389574051
10,3.5229193039972764e-05,3.5583343560574576e-05,0.06980796158313751
15,2.9140806173717676e-05,2.959654011647217e-05,0.07698455452919006
20,2.2833764607919595e-05,2.1910616851528175e-05,0.08414711058139801
25,1.708025481023539e-05,1.626926678000018e-05,0.09086420387029648
30,1.283962655389377e-05,1.229773261002265e-05,0.0984339714050293
35,1.0694359039357201e-05,9.162989954347722e-06,0.10602562874555588
40,7.710314758486884e-06,6.6471525315137114e-06,0.11251823604106903
45,5.410826396165738e-06,4.9973855311691295e-06,0.11849017441272736
50,4.326838034802887e-06,4.051775249536149e-06,0.12324866652488708
55,4.840491940810282e-06,4.1070115912589245e-06,0.12750931084156036
60,3.717618728142742e-06,3.562752908692346e-06,0.12889355421066284
65,3.2454695079090575e-06,3.0908233838999877e-06,0.12893357872962952
70,3.1494532952190357e-06,2.944547077277093e-06,0.12915539741516113
75,3.0874678556686445e-06,2.9398909191513667e-06,0.12847170233726501
80,2.7745649661553148e-06,2.706343138925149e-06,0.1269727349281311
