epoch,train_loss,train_acc,test_loss,test_acc
1,2.274444,0.150000,2.247605,0.176000
2,2.212231,0.185500,2.188034,0.191000
3,2.155057,0.199000,2.136537,0.187000
4,2.081429,0.215000,2.073872,0.195000
5,2.013869,0.214000,2.023089,0.200000
