epoch,batch_loss,train_mse,test_mse
1,0.4993631490506232,0.06575319170951843,0.08155941218137741
5,0.0031701675070507918,0.002655251882970333,0.06574174761772156
10,0.0008532227857358521,0.0007574979681521654,0.05972642824053764
15,0.0003819765265689057,0.0003633824235294014,0.05415397509932518
20,0.00023869996130088111,0.00021995069982949644,0.050180938094854355
25,0.0001501132777548264,0.00014518304669763893,0.04680303856730461
30,0.00011770388198328874,0.000106378662167117,0.04445996135473251
35,8.574653111281805e-05,8.347655239049345e-05,0.04350747540593147
40,7.544184848029545e-05,7.016924064373598e-05,0.04325147345662117
