epoch,batch_loss,train_mse,test_mse
1,0.23408480619008726,0.06023233011364937,0.28389689326286316
5,0.0010673653898545755,0.0006175172165967524,0.1851654201745987
10,0.0003343136542333433,0.00030631464323960245,0.1638726443052292
15,0.00020982698501589207,0.00019936343596782535,0.15978644788265228
20,0.00014719883396397703,0.00014359642227645963,0.16516414284706116
25,0.00011503702906058886,0.0001083303359337151,0.17250999808311462
30,9.53383306086135e-05,0.00010414358985144645,0.18321770429611206
35,6.648858946461517e-05,6.0252397815929726e-05,0.18851779401302338
40,5.262606254501197e-05,5.451323522720486e-05,0.19287210702896118
45,3.995646847425423e-05,3.5079818189842626e-05,0.20107914507389069
50,2.976037817111669e-05,4.0758546674624085e-05,0.20561785995960236
55,2.6221152718510264e-05,2.3951764887897298e-05,0.20712080597877502
60,2.1433686085331898e-05,2.0622923329938203e-05,0.20889729261398315
65,2.1703121512053676e-05,1.6254827642114833e-05,0.2110593467950821
70,1.429241673087325e-05,1.3495345228875522e-05,0.210296168923378
75,1.5269938697971295e-05,1.357908968202537e-05,0.21050986647605896
80,1.2783897615848287e-05,1.143486861110432e-05,0.21074819564819336
