epoch,train_loss,train_acc,test_loss,test_acc
1,1.830096,0.357500,1.504003,0.462000
2,1.286077,0.549500,1.312040,0.533000
3,1.131498,0.598000,1.345909,0.530000
4,1.052546,0.627000,1.299031,0.534000
