epoch,train_loss,train_acc,test_loss,test_acc
1,1.830096,0.357500,1.504003,0.462000
2,1.286113,0.549500,1.311687,0.533000
3,1.131444,0.595500,1.339245,0.536000
4,1.053040,0.629000,1.295319,0.525000
5,0.984435,0.644000,1.352623,0.522000
6,0.939918,0.663500,1.310465,0.532000
7,0.898114,0.693500,1.336566,0.538000
8,0.857929,0.704500,1.341779,0.538000
9,0.823801,0.712000,1.361460,0.543000
10,0.804821,0.718000,1.353407,0.536000
