epoch,batch_loss,train_mse,test_mse
1,0.6525536807110677,0.025890463963150978,0.5111996531486511
5,0.0011543604375149768,0.000796919222921133,0.6756368279457092
10,0.00030398898413225723,0.00027790130116045475,0.6552256941795349
15,0.00013980842385745535,0.00013533605670090765,0.6611388325691223
20,9.814109328614835e-05,9.567913366481662e-05,0.6630058288574219
25,7.921361220024455e-05,7.801801257301122e-05,0.6641834378242493
30,7.393602362963765e-05,6.757552910130471e-05,0.6640368700027466
35,6.110513990838976e-05,6.281643436523154e-05,0.663972795009613
40,5.5496636307977424e-05,5.5216198234120384e-05,0.6602638363838196
45,5.253389603100144e-05,5.0466613174648955e-05,0.656553328037262
50,4.688120204194162e-05,4.6722805564058945e-05,0.6533547043800354
55,4.3443342152526246e-05,4.3246975110378116e-05,0.6506702303886414
60,4.280028126511472e-05,4.1041901567950845e-05,0.6458309292793274
65,3.776965226839261e-05,3.724865018739365e-05,0.6441671252250671
70,3.5655253528742694e-05,3.463459142949432e-05,0.6402889490127563
75,3.211248146656614e-05,3.2280368031933904e-05,0.6374234557151794
80,3.0090848947740877e-05,3.0331530069815926e-05,0.6324476599693298
